stop_code,stop_name,platform
600801,Broadbeach South,1
600802,Broadbeach North,2
600803,Broadbeach North,1
600804,Florida Gardens,2
600805,Florida Gardens,1
600806,Northcliffe,2
600807,Northcliffe,1
600808,Surfers Paradise,2
600809,Surfers Paradise,1
600810,Cavill Avenue,2
600811,Cavill Avenue,1
600812,Cypress Avenue,2
600813,Cypress Avenue,1
600814,Surfers Paradise North,2
600815,Surfers Paradise North,1
600816,Main Beach,2
600817,Main Beach,1
600818,Broadwater Parklands,2
600819,Broadwater Parklands,1
600820,Southport South,2
600821,Southport South,1
600822,Southport,2
600823,Southport,1
600824,Nerang Street,2
600825,Nerang Street,1
600826,Queen Street,2
600827,Queen Street,1
600828,Griffith University,2
600829,Griffith University,1
600830,Gold Coast University Hospital,2
600831,Gold Coast University Hospital,1
600832,Parkwood East,2
600833,Parkwood East,1
600834,Parkwood,2
600835,Parkwood,1
600836,Helensvale,5
600837,Helensvale,4